the;9,90;;;;
be;5,13;;;;
and;8,88;;;;
of;5,96;;;;
to;29 271,98;;;;
a;1,88;;;;
in;21 142,48;;;;
have;14 209,56;;;;
it;13 772,12;;;;
you;12 809,87;;;;
he;11 017,11;;;;
for;10 025,06;;;;
they;9 763,81;;;;
not;9 493,59;;;;
that;8 652,85;;;;
we;8 400,72;;;;
on;7 763,02;;;;
with;7 381,49;;;;
this;7 002,53;;;;
I;6 820,00;;;;
do;6 802,26;;;;
as;6 746,80;;;;
at;5 570,29;;;;
she;5 194,53;;;;
but;5 087,01;;;;
from;4 598,39;;;;
by;4 322,55;;;;
will;4 195,02;;;;
or;4 060,06;;;;
say;3 425,05;;;;
go;3 260,27;;;;
so;3 226,72;;;;
all;3 174,53;;;;
if;3 008,74;;;;
one;2 997,12;;;;
would;2 996,77;;;;
about;2 967,16;;;;
can;2 889,52;;;;
which;2 886,28;;;;
there;2 819,71;;;;
know;2 633,57;;;;
more;2 631,37;;;;
get;2 572,50;;;;
who;2 534,29;;;;
like;2 464,70;;;;
when;2 434,53;;;;
think;2 432,90;;;;
make;2 358,91;;;;
time;2 302,05;;;;
see;2 226,14;;;;
what;2 203,56;;;;
up;2 149,88;;;;
some;2 130,38;;;;
other;2 100,32;;;;
out;2 063,70;;;;
good;2 038,14;;;;
people;2 019,49;;;;
year;1 948,59;;;;
take;1 873,34;;;;
no;1 853,93;;;;
well;1 835,45;;;;
because;1 823,64;;;;
very;1 792,37;;;;
just;1 750,50;;;;
come;1 693,93;;;;
could;1 687,53;;;;
work;1 673,68;;;;
use;1 656,59;;;;
than;1 591,10;;;;
now;1 563,01;;;;
then;1 553,71;;;;
also;1 552,32;;;;
into;1 477,50;;;;
only;1 474,55;;;;
two;1 390,44;;;;
look;1 370,37;;;;
want;1 353,57;;;;
give;1 331,84;;;;
first;1 321,14;;;;
new;1 289,59;;;;
way;1 278,59;;;;
find;1 235,70;;;;
over;1 235,22;;;;
any;1 223,54;;;;
after;1 210,26;;;;
day;1 187,38;;;;
where;1 187,22;;;;
thing;1 160,91;;;;
most;1 145,76;;;;
should;1 131,84;;;;
need;1 128,99;;;;
much;1 124,91;;;;
right;1 113,45;;;;
how;1 092,72;;;;
back;1 051,00;;;;
mean;1 021,18;;;;
even;988,31;;;;
may;958,91;;;;
here;947,49;;;;
many;944,97;;;;
such;936,05;;;;
last;917,26;;;;
child;909,66;;;;
tell;900,65;;;;
three;884,59;;;;
really;870,25;;;;
call;868,76;;;;
before;848,58;;;;
company;841,64;;;;
through;837,90;;;;
down;833,32;;;;
show;827,45;;;;
life;811,63;;;;
man;807,37;;;;
change;798,90;;;;
place;794,75;;;;
long;790,69;;;;
between;783,98;;;;
feel;779,75;;;;
too;762,88;;;;
still;752,15;;;;
problem;732,61;;;;
write;732,46;;;;
same;720,91;;;;
lot;714,61;;;;
great;709,95;;;;
try;699,19;;;;
leave;698,82;;;;
number;697,99;;;;
both;695,39;;;;
own;692,60;;;;
part;691,65;;;;
point;683,56;;;;
little;680,94;;;;
help;679,94;;;;
ask;674,57;;;;
meet;670,59;;;;
start;669,33;;;;
talk;665,43;;;;
something;665,28;;;;
put;654,61;;;;
another;654,54;;;;
become;653,77;;;;
interest;652,92;;;;
country;652,62;;;;
old;647,48;;;;
each;645,60;;;;
school;637,98;;;;
late;637,78;;;;
high;637,26;;;;
different;635,99;;;;
off;630,43;;;;
next;619,72;;;;
end;619,21;;;;
live;607,53;;;;
why;607,14;;;;
while;598,30;;;;
world;597,09;;;;
week;596,11;;;;
play;592,51;;;;
might;586,52;;;;
must;586,12;;;;
home;585,44;;;;
never;579,96;;;;
include;575,19;;;;
course;575,15;;;;
house;571,74;;;;
report;570,29;;;;
group;569,00;;;;
case;568,87;;;;
woman;568,28;;;;
around;567,94;;;;
book;565,64;;;;
family;564,81;;;;
seem;562,33;;;;
let;555,01;;;;
again;554,15;;;;
kind;553,87;;;;
keep;551,05;;;;
hear;545,77;;;;
system;544,82;;;;
every;544,82;;;;
question;541,77;;;;
during;539,68;;;;
always;530,71;;;;
big;527,26;;;;
set;525,91;;;;
small;525,09;;;;
study;524,04;;;;
follow;521,37;;;;
begin;517,83;;;;
important;517,69;;;;
since;515,41;;;;
run;510,00;;;;
under;509,30;;;;
turn;509,13;;;;
few;509,06;;;;
bring;501,60;;;;
early;498,97;;;;
hand;497,32;;;;
state;494,40;;;;
move;493,18;;;;
money;491,90;;;;
fact;485,60;;;;
however;478,64;;;;
area;476,79;;;;
provide;475,99;;;;
name;471,60;;;;
read;470,64;;;;
friend;467,86;;;;
month;467,51;;;;
large;464,30;;;;
business;464,07;;;;
without;461,50;;;;
information;459,40;;;;
open;458,64;;;;
order;456,44;;;;
government;455,43;;;;
word;454,92;;;;
issue;452,96;;;;
market;449,53;;;;
pay;447,32;;;;
build;446,34;;;;
four;445,02;;;;
hold;441,56;;;;
service;440,21;;;;
against;435,82;;;;
believe;434,88;;;;
second;432,78;;;;
though;430,28;;;;
yes;429,81;;;;
love;426,59;;;;
increase;424,91;;;;
job;424,81;;;;
plan;424,57;;;;
result;424,07;;;;
away;423,69;;;;
example;420,30;;;;
happen;420,14;;;;
offer;417,61;;;;
young;416,51;;;;
close;415,99;;;;
program;414,04;;;;
lead;410,48;;;;
buy;404,94;;;;
understand;402,83;;;;
thank;398,97;;;;
far;397,96;;;;
today;392,48;;;;
hour;391,46;;;;
student;391,17;;;;
face;389,95;;;;
hope;387,80;;;;
idea;386,52;;;;
cost;385,59;;;;
less;385,23;;;;
room;384,79;;;;
until;383,23;;;;
reason;383,15;;;;
form;378,90;;;;
spend;378,08;;;;
head;377,70;;;;
car;377,14;;;;
learn;375,05;;;;
level;372,62;;;;
person;367,83;;;;
experience;365,35;;;;
once;365,05;;;;
member;364,08;;;;
enough;363,11;;;;
bad;362,62;;;;
city;362,34;;;;
night;361,41;;;;
able;360,95;;;;
support;358,85;;;;
whether;358,75;;;;
line;358,31;;;;
present;358,14;;;;
side;355,80;;;;
quite;354,47;;;;
five;353,07;;;;
although;351,22;;;;
sure;350,62;;;;
term;349,82;;;;
least;349,73;;;;
age;349,11;;;;
low;348,97;;;;
speak;348,10;;;;
within;346,99;;;;
process;346,44;;;;
public;343,09;;;;
often;341,09;;;;
train;337,71;;;;
possible;337,42;;;;
actually;337,05;;;;
rather;336,18;;;;
view;335,58;;;;
together;334,24;;;;
consider;334,10;;;;
price;326,81;;;;
parent;326,28;;;;
million;325,74;;;;
hard;325,45;;;;
party;322,07;;;;
local;320,94;;;;
control;319,97;;;;
already;317,75;;;;
concern;317,36;;;;
product;316,63;;;;
lose;316,04;;;;
story;314,86;;;;
almost;314,63;;;;
continue;313,52;;;;
stand;312,96;;;;
whole;312,77;;;;
yet;312,62;;;;
rate;311,82;;;;
care;311,25;;;;
expect;311,14;;;;
effect;310,93;;;;
sort;310,79;;;;
ever;310,69;;;;
anything;310,18;;;;
cause;308,71;;;;
fall;308,56;;;;
deal;308,55;;;;
water;306,97;;;;
send;306,47;;;;
allow;304,96;;;;
soon;304,50;;;;
watch;302,34;;;;
base;300,30;;;;
probably;298,70;;;;
suggest;297,60;;;;
past;297,46;;;;
